GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PartnerShop,PartnerShop.gestioneProdotto.controller,GestioneProdottoController,40,853,0,79,22,209,2,56,2,12
PartnerShop,PartnerShop.gestioneProdotto.controller,LoadImages,111,0,10,0,35,0,9,0,4,0
PartnerShop,PartnerShop.gestioneProdotto.controller,UploadImageAjax,13,0,0,0,4,0,2,0,2,0
PartnerShop,PartnerShop.GestioneAcquisti.service,GestioneAcquistiServiceImp,16,385,13,35,4,85,13,18,0,7
PartnerShop,PartnerShop.segnalazione.service,SegnalazioneServiceImp,22,29,0,2,6,10,3,4,3,3
PartnerShop,PartnerShop.registrazione.service,RegistrazioneServiceImp,0,253,1,39,0,43,1,24,0,5
PartnerShop,PartnerShop.gestioneProdotto.service,GestioneProdottoServiceImp,0,64,0,0,0,18,0,9,0,9
PartnerShop,PartnerShop.GestioneUtenti.controller,GestioneUtenteController,47,243,12,17,15,63,13,9,2,2
PartnerShop,PartnerShop.segnalazione.controller,SegnalazioneController,16,223,0,27,4,59,2,18,2,3
PartnerShop,PartnerShop.GestioneAcquisti.controller,GestioneAcquistiController,157,236,24,30,37,52,21,12,2,2
PartnerShop,PartnerShop.autenticazione.service,AutenticazioneServiceImp,34,121,10,14,12,36,9,8,1,4
PartnerShop,PartnerShop.model.entity,Cliente,23,36,0,0,4,13,2,7,2,7
PartnerShop,PartnerShop.model.entity,UtenteRegistrato,30,137,0,0,4,50,2,25,2,25
PartnerShop,PartnerShop.model.entity,Carrello,4,111,0,2,1,21,1,11,1,10
PartnerShop,PartnerShop.model.entity,Amministratore,26,7,0,0,11,4,6,2,6,2
PartnerShop,PartnerShop.model.entity,Prodotto,62,80,3,5,2,27,5,18,2,17
PartnerShop,PartnerShop.model.entity,Venditore,32,0,0,0,10,0,5,0,5,0
PartnerShop,PartnerShop.model.entity,Ordine,28,115,0,0,5,37,4,22,4,22
PartnerShop,PartnerShop.model.entity,Segnalazione,15,50,0,0,2,22,2,11,2,11
PartnerShop,PartnerShop.GestioneUtenti.service,GestioneUtenteServiceImp,0,163,0,16,0,36,0,16,0,8
PartnerShop,PartnerShop.registrazione.controller,RegistrazioneController,18,240,8,18,5,53,9,9,1,3
PartnerShop,PartnerShop.autenticazione.controller,AutenticazioneController,13,94,2,6,4,22,3,4,1,2
PartnerShop,PartnerShop.model.dao,ClienteDAO,22,56,2,2,6,18,2,3,0,3
PartnerShop,PartnerShop.model.dao,SegnalazioneDAO,23,176,1,7,7,47,1,8,0,5
PartnerShop,PartnerShop.model.dao,CarrelloDAO,104,173,10,10,27,53,8,10,0,8
PartnerShop,PartnerShop.model.dao,VenditoreDAO,11,36,1,1,3,12,1,2,0,2
PartnerShop,PartnerShop.model.dao,UtenteRegistratoDAO,127,377,5,11,33,96,5,12,0,9
PartnerShop,PartnerShop.model.dao,GestioneProdottoDAO,63,440,3,13,19,118,3,14,0,9
PartnerShop,PartnerShop.model.dao,GestioneAcquistiDAO,37,372,2,16,14,85,2,11,0,4
PartnerShop,PartnerShop.model.dao,ListaDesideriDAO,28,98,2,4,8,29,2,5,0,4
PartnerShop,PartnerShop.Exceptions,MyServletException,9,7,0,0,4,4,2,2,2,2
PartnerShop,PartnerShop,HomePageServlet,22,35,3,1,5,9,4,2,2,2
PartnerShop,PartnerShop.utils,ConPool,6,46,0,0,3,16,1,2,1,2
